filename,urban,nl_mean,pred_wo_abstention,pred_with_abstention
image13724.npz,False,-0.0976840257644653,-1,0
image19338.npz,True,13.152287483215332,1,1
image19053.npz,True,6.2504820823669425,1,1
image12371.npz,False,0.3451044261455536,1,0
image19639.npz,False,-0.1289850324392318,-1,-1
image11979.npz,False,-0.1738624721765518,-1,0
image6864.npz,True,2.332590103149414,1,0
image5571.npz,True,2.517092227935791,1,1
image4608.npz,True,2.529019832611084,1,0
image3509.npz,True,1.2242608070373535,1,0
image3144.npz,True,2.4847872257232666,1,1
image10072.npz,True,2.091083526611328,1,0
image9468.npz,False,-0.1738624721765518,-1,0
image3938.npz,False,1.0378952026367188,1,0
image10908.npz,True,0.6013737916946411,-1,0
image1546.npz,False,-0.1352055072784423,-1,-1
image4527.npz,False,-0.0102632213383913,1,0
image8494.npz,False,2.188423156738281,1,0
image10789.npz,False,-0.1738624721765518,-1,-1
image9359.npz,False,-0.1738624721765518,-1,-1
image17548.npz,False,-0.1738624721765518,-1,0
image16002.npz,False,-0.1738624721765518,-1,0
image9777.npz,False,-0.1738624721765518,1,0
image7207.npz,False,-0.1738624721765518,-1,-1
image15846.npz,False,-0.1738624721765518,1,0
image19356.npz,False,-0.1738624721765518,-1,-1
image8966.npz,False,-0.1738624721765518,-1,-1
image12545.npz,False,-0.1738624721765518,-1,-1
image2693.npz,False,-0.1676744520664215,-1,-1
image14768.npz,False,-0.1738624721765518,-1,-1
image11430.npz,False,-0.1738624721765518,-1,0
image12267.npz,False,-0.1738624721765518,-1,-1
image17121.npz,False,-0.1738624721765518,-1,0
image15598.npz,False,-0.1738624721765518,-1,-1
image3829.npz,False,-0.1738624721765518,-1,-1
image240.npz,False,-0.1738624721765518,-1,0
image9296.npz,True,0.7113510966300964,-1,0
image14717.npz,True,0.0733972489833831,-1,-1
image14067.npz,False,-0.08917117863893499,-1,-1
image5558.npz,False,-0.1016236022114753,-1,-1
image14657.npz,False,-0.1738624721765518,-1,0
image12338.npz,False,0.1436698585748672,-1,0
image12678.npz,False,-0.1738624721765518,-1,0
image16581.npz,True,5.652662754058838,1,1
image14452.npz,True,6.68886661529541,1,0
image18912.npz,True,16.774166107177734,1,1
image2289.npz,True,14.014988899230955,1,1
image6175.npz,True,12.3471040725708,1,1
image6767.npz,True,17.879457473754886,1,1
image10938.npz,True,17.828113555908203,1,1
image7301.npz,True,16.350954055786133,1,1
image10847.npz,True,17.469362258911133,1,1
image11127.npz,False,0.2160610109567642,-1,-1
image8532.npz,True,18.67121696472168,1,1
image13252.npz,False,-0.2258495986461639,-1,0
image12481.npz,True,0.3085600435733795,-1,-1
image13217.npz,True,1.6325613260269165,-1,0
image981.npz,False,-0.1953048110008239,1,0
image4540.npz,True,0.8508735895156859,-1,-1
image17304.npz,False,-0.2147401273250579,-1,0
image10863.npz,True,0.51842200756073,1,0
image17803.npz,True,1.220856547355652,-1,0
image19449.npz,True,1.5370078086853027,1,0
image18556.npz,True,1.4653712511062622,-1,0
image11913.npz,True,1.4431675672531128,-1,0
image10972.npz,False,-0.1069137975573539,-1,0
image7326.npz,False,-0.2053951919078827,-1,-1
image9618.npz,True,-0.0296189915388822,1,0
image2667.npz,False,-0.2066367864608764,1,1
image6176.npz,True,0.9346771240234376,-1,-1
image11444.npz,False,-0.2104634642601013,1,1
image10067.npz,False,-0.1989462971687317,1,1
image13925.npz,False,-0.2044174671173095,1,0
image5251.npz,False,0.2221544831991195,-1,0
image9388.npz,False,-0.028614031150937,-1,-1
image14880.npz,True,0.467430979013443,1,0
image15675.npz,True,0.4777061939239502,-1,0
image8924.npz,False,-0.2087751626968383,-1,0
image3837.npz,True,1.0227069854736328,-1,0
image11411.npz,False,-0.2156300842761993,-1,0
image4010.npz,False,-0.2085612118244171,-1,0
image16732.npz,False,-0.2097974270582199,1,1
image15750.npz,False,-0.2097789794206619,1,1
image9258.npz,False,-0.2118373066186905,-1,0
image16818.npz,True,0.8323754072189331,-1,0
image11278.npz,False,-0.1872283816337585,1,0
image14902.npz,True,1.4818384647369385,1,1
image6769.npz,True,3.682401418685913,1,1
image8051.npz,True,2.715548753738404,1,1
image15058.npz,True,6.7499046325683585,1,1
image7552.npz,True,7.891702651977539,1,1
image8358.npz,True,10.38854694366455,1,1
image14615.npz,True,9.606029510498047,1,1
image15282.npz,True,9.850285530090332,1,1
image7683.npz,True,9.944336891174316,1,1
image12440.npz,True,8.562870979309082,1,1
image18612.npz,True,9.572172164916992,1,1
image10042.npz,True,9.078248023986816,1,1
image6850.npz,True,8.765334129333496,1,1
image8893.npz,True,7.154701232910156,1,1
image6462.npz,True,7.8624587059021,1,1
image645.npz,True,5.2504496574401855,1,1
image16346.npz,True,5.307352542877197,1,1
image12094.npz,True,5.696086883544923,1,1
image19615.npz,True,3.436872720718384,1,1
image14936.npz,True,2.6404588222503658,1,0
image6765.npz,True,3.5613281726837163,-1,0
image12647.npz,True,-0.05129551887512201,-1,-1
image16720.npz,True,0.6083539128303528,-1,-1
image16343.npz,True,4.283933639526366,-1,0
image9351.npz,True,2.5384595394134517,-1,-1
image8224.npz,True,4.180615425109863,1,0
image3326.npz,False,1.3282136917114258,1,0
image3024.npz,True,1.934858322143555,1,1
image17480.npz,True,1.8705292940139768,1,1
image11296.npz,True,1.9234458208084104,1,1
image15130.npz,True,1.4961185455322266,1,0
image16941.npz,True,1.8988823890686035,1,1
image17102.npz,False,-0.2023588716983795,1,1
image14543.npz,True,-0.140018343925476,1,1
image16579.npz,True,2.4616472721099854,1,0
image6804.npz,True,2.565500974655152,1,0
